name,ticker,weight,market_cap,industry
贵州茅台,600519.SH,0.161383862,2136600,饮料制造
中国平安,601318.SH,0.076392361,848700,保险及其他
招商银行,600036.SH,0.061593841,818300,银行
兴业银行,601166.SH,0.03459654,321100,银行
长江电力,600900.SH,0.03279672,538300,电力
恒瑞医药,600276.SH,0.03249675,303700,化学制药
中信证券,600030.SH,0.02929707,298100,证券
紫金矿业,601899.SH,0.02849715,303800,工业金属
伊利股份,600887.SH,0.02739726,180600,食品加工制造
隆基绿能,601012.SH,0.02639736,225000,电力设备
工商银行,601398.SH,0.02569743,1700000,银行
万华化学,600309.SH,0.02519748,274100,化学制品
药明康德,603259.SH,0.01939806,188700,医疗服务
中国石化,600028.SH,0.01839816,772100,石油加工贸易
中国建筑,601668.SH,0.01829817,238600,建筑装饰
农业银行,601288.SH,0.01709829,1228400,银行
中国中免,601888.SH,0.01639836,243200,零售
中国神华,601088.SH,0.01539846,568800,煤炭开采加工
三一重工,600031.SH,0.0149985,141100,专用设备
保利发展,600048.SH,0.01419858,152000,房地产开发
通威股份,600438.SH,0.01409859,155400,电力设备
国电南瑞,600406.SH,0.01409859,189200,电力设备
XD中国联,600050.SH,0.01389861,148800,通信服务
山西汾酒,600809.SH,0.01369863,245600,饮料制造
海尔智家,600690.SH,0.01349865,218300,白色家电
中国电信,601728.SH,0.01329867,524300,通信服务
金山办公,688111.SH,0.01319868,205800,计算机应用
特变电工,600089.SH,0.01319868,86600,综合
片仔癀,600436.SH,0.01309869,171500,中药
中国石油,601857.SH,0.01289871,1396400,石油加工贸易
韦尔股份,603501.SH,0.01239876,126400,半导体及元件
海天味业,603288.SH,0.01189881,255900,食品加工制造
中国中铁,601390.SH,0.01179882,193500,建筑装饰
三峡能源,600905.SH,0.01169883,153400,电力
兆易创新,603986.SH,0.01079892,70700,半导体及元件
陕西煤业,601225.SH,0.01069893,186000,煤炭开采加工
上汽集团,600104.SH,0.01009899,167300,汽车整车
北方稀土,600111.SH,0.00919908,90100,小金属
中远海控,601919.SH,0.00909909,160400,港口航运
华友钴业,603799.SH,0.00889911,76100,小金属
中国人寿,601628.SH,0.00889911,967500,保险及其他
航发动力,600893.SH,0.00859914,112000,国防军工
天合光能,688599.SH,0.0069993,84300,电力设备
闻泰科技,600745.SH,0.00649935,60900,半导体及元件
包钢股份,600010.SH,0.00619938,83500,钢铁
中国电建,601669.SH,0.0059994,100600,建筑装饰
复星医药,600196.SH,0.0059994,82500,化学制药
中信建投,601066.SH,0.00479952,188500,证券
长城汽车,601633.SH,0.00469953,217600,汽车整车
合盛硅业,603260.SH,0.00379962,85200,化学制品
